source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_16	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_16	1	1	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_16	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_16.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_12	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_12	1	2	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_12	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_12.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_7	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_7	1	3	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_7	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_7	1	4	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_20Cellc_3	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	pooled	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_20Cellc_3	20	5	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_20Cellc_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_20Cellc_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_20Cellc_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_37	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_37	1	6	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_37	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_37.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_64	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_64	1	7	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_64	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_64.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_64.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_71	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_71	1	8	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_71	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_71.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_71.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_56	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_56	1	9	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_56	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_EB_1Cellc_56.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_8	Homo sapiens	Cell culture	not available	Cell culture	HeLa	cell	single cell	cellenONE	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_8	1	10	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_8	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD049181/20231207_AST5_Evo5_ML_SA_40SPD_DIA_SCP_iPSCs_1Cellc_8.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	96 eV	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
