source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
FigS3A_2363_onlyNonIR_2	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS3A_2363_onlyNonIR_2	1	1	FigS3A_2363_onlyNonIR_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS3A_2363_onlyNonIR_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS3A_2363_onlyNonIR_2.raw	1	TMT126	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2A_2195_5E6_500	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2A_2195_5E6_500	1	2	FigS2A_2195_5E6_500	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2A_2195_5E6_500.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2A_2195_5E6_500.raw	1	TMT127N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Fig4_2206_S3	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	Fig4_2206_S3	1	3	Fig4_2206_S3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Fig4_2206_S3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/Fig4_2206_S3.raw	1	TMT127C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2A_2195_5E4_300	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2A_2195_5E4_300	1	4	FigS2A_2195_5E4_300	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2A_2195_5E4_300.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2A_2195_5E4_300.raw	1	TMT128N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2D_2178_200NT	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2D_2178_200NT	1	5	FigS2D_2178_200NT	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2D_2178_200NT.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2D_2178_200NT.raw	1	TMT128C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS3A_2363_onlyNonIR_4	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS3A_2363_onlyNonIR_4	1	6	FigS3A_2363_onlyNonIR_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS3A_2363_onlyNonIR_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS3A_2363_onlyNonIR_4.raw	1	TMT129N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS3A_2363_onlyIR_4	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS3A_2363_onlyIR_4	1	7	FigS3A_2363_onlyIR_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS3A_2363_onlyIR_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS3A_2363_onlyIR_4.raw	1	TMT129C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2C_2363_mixPT_3	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2C_2363_mixPT_3	1	8	FigS2C_2363_mixPT_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2C_2363_mixPT_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2C_2363_mixPT_3.raw	1	TMT130N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Fig4_2227_S1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	Fig4_2227_S1	1	9	Fig4_2227_S1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Fig4_2227_S1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/Fig4_2227_S1.raw	1	TMT130C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS3A_2363_onlyIR_3	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS3A_2363_onlyIR_3	1	10	FigS3A_2363_onlyIR_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS3A_2363_onlyIR_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS3A_2363_onlyIR_3.raw	1	TMT131N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2A_2195_5E5_300	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2A_2195_5E5_300	1	11	FigS2A_2195_5E5_300	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2A_2195_5E5_300.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2A_2195_5E5_300.raw	1	TMT131C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2C_2363_mix_1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2C_2363_mix_1	1	12	FigS2C_2363_mix_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2C_2363_mix_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2C_2363_mix_1.raw	1	TMT126	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Fig4_2236_S1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	Fig4_2236_S1	1	13	Fig4_2236_S1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Fig4_2236_S1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/Fig4_2236_S1.raw	1	TMT127N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS2C_2363_mixPT_1	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS2C_2363_mixPT_1	1	14	FigS2C_2363_mixPT_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS2C_2363_mixPT_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS2C_2363_mixPT_1.raw	1	TMT127C	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
FigS3A_2363_onlyIR_2	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	U2OS	cell	single cell	not applicable	FigS3A_2363_onlyIR_2	1	15	FigS3A_2363_onlyIR_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	FigS3A_2363_onlyIR_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD034370/FigS3A_2363_onlyIR_2.raw	1	TMT128N	not available	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	NT=HCD;AC=MS:1002481	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
