source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20230626_KK_SC_IFNy_28_B8_1_14126	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230626_KK_SC_IFNy_28_B8_1_14126	1	1	20230626_KK_SC_IFNy_28_B8_1_14126	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230626_KK_SC_IFNy_28_B8_1_14126.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230626_KK_SC_IFNy_28_B8_1_14126.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230629_KK_10SC_IFNy_01_A12_1_14179	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230629_KK_10SC_IFNy_01_A12_1_14179	1	2	20230629_KK_10SC_IFNy_01_A12_1_14179	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230629_KK_10SC_IFNy_01_A12_1_14179.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230629_KK_10SC_IFNy_01_A12_1_14179.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230626_KK_SC_control_48_F1_1_14175	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230626_KK_SC_control_48_F1_1_14175	1	3	20230626_KK_SC_control_48_F1_1_14175	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230626_KK_SC_control_48_F1_1_14175.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230626_KK_SC_control_48_F1_1_14175.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230630_KK_SC_control_67_A4_1_14249	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230630_KK_SC_control_67_A4_1_14249	1	4	20230630_KK_SC_control_67_A4_1_14249	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230630_KK_SC_control_67_A4_1_14249.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230630_KK_SC_control_67_A4_1_14249.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230626_KK_SC_control_16_F5_1_14103	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230626_KK_SC_control_16_F5_1_14103	1	5	20230626_KK_SC_control_16_F5_1_14103	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230626_KK_SC_control_16_F5_1_14103.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230626_KK_SC_control_16_F5_1_14103.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230630_KK_SC_control_80_A10_1_14272	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230630_KK_SC_control_80_A10_1_14272	1	6	20230630_KK_SC_control_80_A10_1_14272	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230630_KK_SC_control_80_A10_1_14272.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230630_KK_SC_control_80_A10_1_14272.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230629_KK_10SC_control_07_G11_1_14200	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230629_KK_10SC_control_07_G11_1_14200	1	7	20230629_KK_10SC_control_07_G11_1_14200	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230629_KK_10SC_control_07_G11_1_14200.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230629_KK_10SC_control_07_G11_1_14200.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230626_KK_SC_control_02_B6_1_14066	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230626_KK_SC_control_02_B6_1_14066	1	8	20230626_KK_SC_control_02_B6_1_14066	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230626_KK_SC_control_02_B6_1_14066.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230626_KK_SC_control_02_B6_1_14066.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230626_KK_SC_control_03_C6_1_14067	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230626_KK_SC_control_03_C6_1_14067	1	9	20230626_KK_SC_control_03_C6_1_14067	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230626_KK_SC_control_03_C6_1_14067.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230626_KK_SC_control_03_C6_1_14067.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20230626_KK_SC_control_28_B3_1_14135	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	FACS	20230626_KK_SC_control_28_B3_1_14135	1	10	20230626_KK_SC_control_28_B3_1_14135	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20230626_KK_SC_control_28_B3_1_14135.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048179/20230626_KK_SC_control_28_B3_1_14135.mzML	1	label free sample	not applicable	not applicable	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	384% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
