source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
2016-04-11_SC06_hip_cultured_neuron_0.25_ugul	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2016-04-11_SC06_hip_cultured_neuron_0.25_ugul	1	1	2016-04-11_SC06_hip_cultured_neuron_0.25_ugul	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-04-11_SC06_hip_cultured_neuron_0.25_ugul.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2016-04-11_SC06_hip_cultured_neuron_0.25_ugul.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-04-04_SC02_hip_cultured_neu_0.5_ugul	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2016-04-04_SC02_hip_cultured_neu_0.5_ugul	1	2	2016-04-04_SC02_hip_cultured_neu_0.5_ugul	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-04-04_SC02_hip_cultured_neu_0.5_ugul.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2016-04-04_SC02_hip_cultured_neu_0.5_ugul.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-04-11_SC05_hip_cultured_neuron_0.125_ugul	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2016-04-11_SC05_hip_cultured_neuron_0.125_ugul	1	3	2016-04-11_SC05_hip_cultured_neuron_0.125_ugul	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-04-11_SC05_hip_cultured_neuron_0.125_ugul.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2016-04-11_SC05_hip_cultured_neuron_0.125_ugul.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-04-11_SC07_hip_cultured_neuron_0.25_ugul	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2016-04-11_SC07_hip_cultured_neuron_0.25_ugul	1	4	2016-04-11_SC07_hip_cultured_neuron_0.25_ugul	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-04-11_SC07_hip_cultured_neuron_0.25_ugul.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2016-04-11_SC07_hip_cultured_neuron_0.25_ugul.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-04-01_SC03_hip_cultured_neu_0.5_ugul	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2016-04-01_SC03_hip_cultured_neu_0.5_ugul	1	5	2016-04-01_SC03_hip_cultured_neu_0.5_ugul	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-04-01_SC03_hip_cultured_neu_0.5_ugul.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2016-04-01_SC03_hip_cultured_neu_0.5_ugul.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2016-04-11_SC04_hip_cultured_neuron_0.125_ugul	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2016-04-11_SC04_hip_cultured_neuron_0.125_ugul	1	6	2016-04-11_SC04_hip_cultured_neuron_0.125_ugul	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2016-04-11_SC04_hip_cultured_neuron_0.125_ugul.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2016-04-11_SC04_hip_cultured_neuron_0.125_ugul.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2021_4-8_BS01_E6V11-rep1	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2021_4-8_BS01_E6V11-rep1	1	7	2021_4-8_BS01_E6V11-rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2021_4-8_BS01_E6V11-rep1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2021_4-8_BS01_E6V11-rep1.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2021-06-24-BS06_D11_DDA_E1-rep3	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2021-06-24-BS06_D11_DDA_E1-rep3	1	8	2021-06-24-BS06_D11_DDA_E1-rep3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2021-06-24-BS06_D11_DDA_E1-rep3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2021-06-24-BS06_D11_DDA_E1-rep3.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2021-04-13_LP_AWCsinglecellV12_3	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2021-04-13_LP_AWCsinglecellV12_3	1	9	2021-04-13_LP_AWCsinglecellV12_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2021-04-13_LP_AWCsinglecellV12_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2021-04-13_LP_AWCsinglecellV12_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2021-06-24-BS04_D11_DDA_E1-rep1	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2021-06-24-BS04_D11_DDA_E1-rep1	1	10	2021-06-24-BS04_D11_DDA_E1-rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2021-06-24-BS04_D11_DDA_E1-rep1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2021-06-24-BS04_D11_DDA_E1-rep1.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
2021-06-24-BS05_D11_DDA_E1-rep2	Mus musculus	Embryo	not available	embryonic stage	not available	not available	Early embryonic cell	cell	single cell	manual picking	2021-06-24-BS05_D11_DDA_E1-rep2	1	11	2021-06-24-BS05_D11_DDA_E1-rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2021-06-24-BS05_D11_DDA_E1-rep2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/10/PXD030607/2021-06-24-BS05_D11_DDA_E1-rep2.RAW	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
