source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c5	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c5	1	1	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c5	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c6	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c6	1	2	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c6	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c4	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c4	1	3	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r1c4	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r1c4	1	4	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r1c4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r1c4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r1c4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c3	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c3	1	5	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c4	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c4	1	6	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c4	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c4	1	7	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r2c4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c7	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c7	1	8	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_Ctr_r4c7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c7	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c7	1	9	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c7	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r2c7.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r4c6	Homo sapiens	not available	not available	not available	not available	not available	not available	not available	not available	HeLa; K562	cell	single cell	cellenONE	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r4c6	1	10	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r4c6	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r4c6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/07/PXD037527/Ex_AuLC1_30m_2D19_20um30cm_SPE50_15118120_OTOT_11860_8mz_KO_r4c6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	300% NCE	not available	20 ppm	not applicable	not applicable	nanoPOTS sample processing and dried on-chip	not applicable	nanoPOTS sample preparation and ultra-low-flow l	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
