source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20221019_Ec_01_SC_CNIC-KI_TMT5	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT5	1	1	20221019_Ec_01_SC_CNIC-KI_TMT5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT5.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT5.mzML	1	TMT126	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT68	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT68	1	2	20221019_Ec_01_SC_CNIC-KI_TMT68	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT68.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT68.mzML	1	TMT127N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT40	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT40	1	3	20221019_Ec_01_SC_CNIC-KI_TMT40	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT40.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT40.mzML	1	TMT127C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT40_2	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT40_2	1	4	20221019_Ec_01_SC_CNIC-KI_TMT40_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT40.raw	1	TMT128N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT72	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT72	1	5	20221019_Ec_01_SC_CNIC-KI_TMT72	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT72.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT72.mzML	1	TMT128C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT56	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT56	1	6	20221019_Ec_01_SC_CNIC-KI_TMT56	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT56.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT56.mzML	1	TMT129N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT53	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT53	1	7	20221019_Ec_01_SC_CNIC-KI_TMT53	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT53.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT53.raw	1	TMT129C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT8	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT8	1	8	20221019_Ec_01_SC_CNIC-KI_TMT8	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT8.raw	1	TMT130N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT46	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT46	1	9	20221019_Ec_01_SC_CNIC-KI_TMT46	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT46.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT46.mzML	1	TMT130C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT44	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20221019_Ec_01_SC_CNIC-KI_TMT44	1	10	20221019_Ec_01_SC_CNIC-KI_TMT44	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT44.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064518/20221019_Ec_01_SC_CNIC-KI_TMT44.raw	1	TMT131N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
