source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
InVitroAgingOocyte_DIA_Rescue_R3_20220123	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	InVitroAgingOocyte_DIA_Rescue_R3_20220123	1	1	InVitroAgingOocyte_DIA_Rescue_R3_20220123	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	InVitroAgingOocyte_DIA_Rescue_R3_20220123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/InVitroAgingOocyte_DIA_Rescue_R3_20220123.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-HPRP-library-F9_20211225	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-HPRP-library-F9_20211225	1	2	GV-MII-Zygote-HPRP-library-F9_20211225	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-HPRP-library-F9_20211225.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-HPRP-library-F9_20211225.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-10ng-DIA-R3-20220108	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-10ng-DIA-R3-20220108	1	3	GV-MII-Zygote-10ng-DIA-R3-20220108	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-10ng-DIA-R3-20220108.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-10ng-DIA-R3-20220108.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
R2-Wash-300nl-min_20220126155110	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	R2-Wash-300nl-min_20220126155110	1	4	R2-Wash-300nl-min_20220126155110	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	R2-Wash-300nl-min_20220126155110.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/R2-Wash-300nl-min_20220126155110.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-10ng-DDA-R2-20210108	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-10ng-DDA-R2-20210108	1	5	GV-MII-Zygote-10ng-DDA-R2-20210108	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-10ng-DDA-R2-20210108.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-10ng-DDA-R2-20210108.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-10ng-DDA-R3-20210108	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-10ng-DDA-R3-20210108	1	6	GV-MII-Zygote-10ng-DDA-R3-20210108	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-10ng-DDA-R3-20210108.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-10ng-DDA-R3-20210108.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote_phospho_library_20211224	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote_phospho_library_20211224	1	7	GV-MII-Zygote_phospho_library_20211224	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote_phospho_library_20211224.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote_phospho_library_20211224.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
InVitroAgingOocyte_DIA_Rescue_R9_20220123	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	InVitroAgingOocyte_DIA_Rescue_R9_20220123	1	8	InVitroAgingOocyte_DIA_Rescue_R9_20220123	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	InVitroAgingOocyte_DIA_Rescue_R9_20220123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/InVitroAgingOocyte_DIA_Rescue_R9_20220123.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
SingleMII-DIA-R3-20220112	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	SingleMII-DIA-R3-20220112	1	9	SingleMII-DIA-R3-20220112	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SingleMII-DIA-R3-20220112.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/SingleMII-DIA-R3-20220112.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
GV-MII-Zygote-10ng-DIA-R2-20220108	Mus musculus	Oocyte	not available	embryonic stage	not available	not available	Oocyte	cell	single cell	not applicable	GV-MII-Zygote-10ng-DIA-R2-20220108	1	10	GV-MII-Zygote-10ng-DIA-R2-20220108	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	GV-MII-Zygote-10ng-DIA-R2-20220108.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD045614/GV-MII-Zygote-10ng-DIA-R2-20220108.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=MS:1002481	30% NCE	15 Da	20 ppm	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
