source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Rep_AD_TMT_plate2_A5	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	Rep_AD_TMT_plate2_A5	1	1	Rep_AD_TMT_plate2_A5	proteomic profiling by mass spectrometry	1	plate2	NT=Data-dependent acquisition;AC=PRIDE:0000627	Rep_AD_TMT_plate2_A5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/Rep_AD_TMT_plate2_A5.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
AD_TMT_plate1_C21	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	AD_TMT_plate1_C21	1	2	AD_TMT_plate1_C21	proteomic profiling by mass spectrometry	1	plate1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AD_TMT_plate1_C21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/AD_TMT_plate1_C21.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
AD_TMT_plate1_C19	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	AD_TMT_plate1_C19	1	3	AD_TMT_plate1_C19	proteomic profiling by mass spectrometry	1	plate1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AD_TMT_plate1_C19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/AD_TMT_plate1_C19.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
AD_TMT_plate1_C7	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	AD_TMT_plate1_C7	1	4	AD_TMT_plate1_C7	proteomic profiling by mass spectrometry	1	plate1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AD_TMT_plate1_C7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/AD_TMT_plate1_C7.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
AD_TMT_plate1_C4	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	AD_TMT_plate1_C4	1	5	AD_TMT_plate1_C4	proteomic profiling by mass spectrometry	1	plate1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AD_TMT_plate1_C4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/AD_TMT_plate1_C4.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Rep_AD_TMT_plate2_C18	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	Rep_AD_TMT_plate2_C18	1	6	Rep_AD_TMT_plate2_C18	proteomic profiling by mass spectrometry	1	plate2	NT=Data-dependent acquisition;AC=PRIDE:0000627	Rep_AD_TMT_plate2_C18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/Rep_AD_TMT_plate2_C18.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Rep_AD_TMT_plate2_C20	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	Rep_AD_TMT_plate2_C20	1	7	Rep_AD_TMT_plate2_C20	proteomic profiling by mass spectrometry	1	plate2	NT=Data-dependent acquisition;AC=PRIDE:0000627	Rep_AD_TMT_plate2_C20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/Rep_AD_TMT_plate2_C20.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
AD_TMT_plate1_A19	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	AD_TMT_plate1_A19	1	8	AD_TMT_plate1_A19	proteomic profiling by mass spectrometry	1	plate1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AD_TMT_plate1_A19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/AD_TMT_plate1_A19.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
AD_TMT_plate1_A23	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	AD_TMT_plate1_A23	1	9	AD_TMT_plate1_A23	proteomic profiling by mass spectrometry	1	plate1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AD_TMT_plate1_A23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/AD_TMT_plate1_A23.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
AD_TMT_plate1_C17	Homo sapiens	Brain	not available	not available	tissue	single cell	cellenONE	AD_TMT_plate1_C17	1	10	AD_TMT_plate1_C17	proteomic profiling by mass spectrometry	1	plate1	NT=Data-dependent acquisition;AC=PRIDE:0000627	AD_TMT_plate1_C17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD063590/AD_TMT_plate1_C17.raw	1	not available	not available	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
