source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20220323_SST_cnic_SCP_3	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_3	1	1	20220323_SST_cnic_SCP_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_3.raw	1	TMT126	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_12	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_12	1	2	20220323_SST_cnic_SCP_12	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_12.raw	1	TMT127N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_7	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_7	1	3	20220323_SST_cnic_SCP_7	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_7.raw	1	TMT127C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_12_2	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_12_2	1	4	20220323_SST_cnic_SCP_12_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_12.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_12.mzML	1	TMT128N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_9	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_9	1	5	20220323_SST_cnic_SCP_9	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_9.raw	1	TMT128C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_10	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_10	1	6	20220323_SST_cnic_SCP_10	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_10.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_10.mzML	1	TMT129N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_6	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_6	1	7	20220323_SST_cnic_SCP_6	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_6.raw	1	TMT129C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_2	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_2	1	8	20220323_SST_cnic_SCP_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_2.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_2.mzML	1	TMT130N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_2_2	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_2_2	1	9	20220323_SST_cnic_SCP_2_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_2.raw	1	TMT130C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_4	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_4	1	10	20220323_SST_cnic_SCP_4	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_4.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_4.mzML	1	TMT131N	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220323_SST_cnic_SCP_5	Mus musculus	Cardiac muscle cell	not available	not available	not available	not available	Cardiac muscle cell	cell	single cell	not applicable	20220323_SST_cnic_SCP_5	1	11	20220323_SST_cnic_SCP_5	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20220323_SST_cnic_SCP_5.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064499/20220323_SST_cnic_SCP_5.mzML	1	TMT131C	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
