source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_05	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	cellenONE	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_05	1	1	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_05	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_05.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210319_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_direct_funnel4_02	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	cellenONE	20210319_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_direct_funnel4_02	1	2	20210319_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_direct_funnel4_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210319_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_direct_funnel4_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210319_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_direct_funnel4_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210331_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMTpro20x_Hela_100nl200nlTMT_03	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	cellenONE	20210331_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMTpro20x_Hela_100nl200nlTMT_03	1	3	20210331_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMTpro20x_Hela_100nl200nlTMT_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210331_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMTpro20x_Hela_100nl200nlTMT_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210331_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMTpro20x_Hela_100nl200nlTMT_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_4cells_0312_01	Homo sapiens	not available	not available	not available	HeLa	cell	pooled	cellenONE	20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_4cells_0312_01	4	4	20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_4cells_0312_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_4cells_0312_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_4cells_0312_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210125_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_07	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	cellenONE	20210125_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_07	1	5	20210125_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_07	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210125_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210125_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_07.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_6cells_0312_01	Homo sapiens	not available	not available	not available	HeLa	cell	pooled	cellenONE	20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_6cells_0312_01	6	6	20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_6cells_0312_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_6cells_0312_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210311_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_Hexa_scLF_6cells_0312_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210402_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0402_4cell_01	Homo sapiens	not available	not available	not available	HeLa	cell	pooled	cellenONE	20210402_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0402_4cell_01	4	7	20210402_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0402_4cell_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210402_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0402_4cell_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210402_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0402_4cell_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210401_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0401_6cell_funnel_01	Homo sapiens	not available	not available	not available	HeLa	cell	pooled	cellenONE	20210401_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0401_6cell_funnel_01	6	8	20210401_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0401_6cell_funnel_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210401_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0401_6cell_funnel_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210401_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_scLF_0401_6cell_funnel_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210216_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_02	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	cellenONE	20210216_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_02	1	9	20210216_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210216_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210216_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT_Hela_100nl200nlTMT_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT20x_HelaHEK_40p60nl100nlTMT_01	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	cellenONE	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT20x_HelaHEK_40p60nl100nlTMT_01	1	10	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT20x_HelaHEK_40p60nl100nlTMT_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT20x_HelaHEK_40p60nl100nlTMT_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT20x_HelaHEK_40p60nl100nlTMT_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210128_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT20x_Hela_100nl200nlTMT_02	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	cellenONE	20210128_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT20x_Hela_100nl200nlTMT_02	1	11	20210128_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT20x_Hela_100nl200nlTMT_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210128_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT20x_Hela_100nl200nlTMT_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210128_Exploris_FAIMS_RSLC9_PepSep_Waters_PepMapPrecol_5ulloop_TMT20x_Hela_100nl200nlTMT_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_01	Homo sapiens	not available	not available	not available	HeLa	cell	single cell	cellenONE	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_01	1	12	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD025387/20210408_E0_FAIMS_RSLC9_Waters_PepMapPrecol_5ulloop_TMT_HelaHEK_40p60nl100nlTMT_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	single cell	Cellenion cellenCHIP	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
