source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20221019_Ec_01_SC_CNIC-KI_TMT85	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT85	1	1	20221019_Ec_01_SC_CNIC-KI_TMT85	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT85.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT85.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT93	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT93	1	2	20221019_Ec_01_SC_CNIC-KI_TMT93	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT93.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT93.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT96	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT96	1	3	20221019_Ec_01_SC_CNIC-KI_TMT96	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT96.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT96.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT92	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT92	1	4	20221019_Ec_01_SC_CNIC-KI_TMT92	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT92.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT92.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT87	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT87	1	5	20221019_Ec_01_SC_CNIC-KI_TMT87	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT87.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT87.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT90	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT90	1	6	20221019_Ec_01_SC_CNIC-KI_TMT90	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT90.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT90.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT97	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT97	1	7	20221019_Ec_01_SC_CNIC-KI_TMT97	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT97.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT97.raw	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT88	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT88	1	8	20221019_Ec_01_SC_CNIC-KI_TMT88	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT88.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT88.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT84	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT84	1	9	20221019_Ec_01_SC_CNIC-KI_TMT84	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT84.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT84.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20221019_Ec_01_SC_CNIC-KI_TMT89	Mus musculus	Cardiac muscle cell	not available	Cardiac muscle cell	cell	single cell	FACS	20221019_Ec_01_SC_CNIC-KI_TMT89	1	10	20221019_Ec_01_SC_CNIC-KI_TMT89	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	20221019_Ec_01_SC_CNIC-KI_TMT89.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD064501/20221019_Ec_01_SC_CNIC-KI_TMT89.mzML	1	not available	not available	not available	NT=Orbitrap Eclipse;AC=MS:1003029	not applicable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Variable	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
