source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20220729_FS1_AZ_INF_6h_Rep2	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_6h_Rep2	1	1	20220729_FS1_AZ_INF_6h_Rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_6h_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_6h_Rep2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_24hCon_Rep1	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_24hCon_Rep1	1	2	20220729_FS1_AZ_INF_24hCon_Rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_24hCon_Rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_24hCon_Rep1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_24h_Rep3	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_24h_Rep3	1	3	20220729_FS1_AZ_INF_24h_Rep3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_24h_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_24h_Rep3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_18h_Rep3	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_18h_Rep3	1	4	20220729_FS1_AZ_INF_18h_Rep3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_18h_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_18h_Rep3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_0h_Rep3	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_0h_Rep3	1	5	20220729_FS1_AZ_INF_0h_Rep3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_0h_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_0h_Rep3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_24h_Rep2	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_24h_Rep2	1	6	20220729_FS1_AZ_INF_24h_Rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_24h_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_24h_Rep2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_24hCon_Rep2	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_24hCon_Rep2	1	7	20220729_FS1_AZ_INF_24hCon_Rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_24hCon_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_24hCon_Rep2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_6h_Rep3	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_6h_Rep3	1	8	20220729_FS1_AZ_INF_6h_Rep3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_6h_Rep3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_6h_Rep3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_0h_Rep2	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_0h_Rep2	1	9	20220729_FS1_AZ_INF_0h_Rep2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_0h_Rep2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_0h_Rep2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20220729_FS1_AZ_INF_18h_Rep1	Homo sapiens	Epithelial cell	Osteosarcoma	Epithelial cell	cell	single cell	not applicable	20220729_FS1_AZ_INF_18h_Rep1	1	10	20220729_FS1_AZ_INF_18h_Rep1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20220729_FS1_AZ_INF_18h_Rep1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/08/PXD048162/20220729_FS1_AZ_INF_18h_Rep1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Fusion;AC=MS:1002416	not applicable	NT=HCD;AC=MS:1002481	2% NCE	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
