source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP5	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP5	1	1	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP5	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_B_REP1	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_B_REP1	1	2	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_B_REP1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_B_REP1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_B_REP1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP6	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP6	1	3	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP6	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_C_REP6	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_C_REP6	1	4	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_C_REP6	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_C_REP6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_C_REP6.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP2	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP2	1	5	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_C_REP2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP2	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP2	1	6	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP5	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP5	1	7	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP5	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_DI_5min_250pg_Condition_A_REP5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_DI_15min_250pg_Condition_B_REP3	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_DI_15min_250pg_Condition_B_REP3	1	8	LFQ_Astral_DIA_Optimized_DI_15min_250pg_Condition_B_REP3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_DI_15min_250pg_Condition_B_REP3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_DI_15min_250pg_Condition_B_REP3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_A_REP3	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_A_REP3	1	9	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_A_REP3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_A_REP3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_TE_15min_50ng_Condition_A_REP3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
LFQ_Astral_DIA_Optimized_TE_5min_50ng_Condition_C_REP1	Saccharomyces cerevisiae	not available	not available	not available	K562	cell	single cell	not applicable	LFQ_Astral_DIA_Optimized_TE_5min_50ng_Condition_C_REP1	1	10	LFQ_Astral_DIA_Optimized_TE_5min_50ng_Condition_C_REP1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	LFQ_Astral_DIA_Optimized_TE_5min_50ng_Condition_C_REP1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/02/PXD071205/LFQ_Astral_DIA_Optimized_TE_5min_50ng_Condition_C_REP1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
