source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Biomarker_DDM2_B3_17Jan19_Oak_Jup-19-01-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_DDM2_B3_17Jan19_Oak_Jup-19-01-01	1	1	Biomarker_DDM2_B3_17Jan19_Oak_Jup-19-01-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_DDM2_B3_17Jan19_Oak_Jup-19-01-01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_DDM2_B3_17Jan19_Oak_Jup-19-01-01.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_DDM2_B4_17Jan19_Oak_Jup-19-01-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_DDM2_B4_17Jan19_Oak_Jup-19-01-01	1	2	Biomarker_DDM2_B4_17Jan19_Oak_Jup-19-01-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_DDM2_B4_17Jan19_Oak_Jup-19-01-01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_DDM2_B4_17Jan19_Oak_Jup-19-01-01.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Sarwal_Kidney_PT12_4Mar19_Oak_Jup-19-02-04	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Sarwal_Kidney_PT12_4Mar19_Oak_Jup-19-02-04	1	3	Sarwal_Kidney_PT12_4Mar19_Oak_Jup-19-02-04	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Sarwal_Kidney_PT12_4Mar19_Oak_Jup-19-02-04.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Sarwal_Kidney_PT12_4Mar19_Oak_Jup-19-02-04.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Sarwal_Kidney_G14_4Mar19_Oak_Jup-19-02-04	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Sarwal_Kidney_G14_4Mar19_Oak_Jup-19-02-04	1	4	Sarwal_Kidney_G14_4Mar19_Oak_Jup-19-02-04	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Sarwal_Kidney_G14_4Mar19_Oak_Jup-19-02-04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Sarwal_Kidney_G14_4Mar19_Oak_Jup-19-02-04.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_T3_5Sep18_Oak_Jup-18-09-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_T3_5Sep18_Oak_Jup-18-09-01	1	5	Biomarker_T3_5Sep18_Oak_Jup-18-09-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_T3_5Sep18_Oak_Jup-18-09-01.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_T3_5Sep18_Oak_Jup-18-09-01.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Sarwal_Kidney_G11_4Mar19_Oak_Jup-19-02-04	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Sarwal_Kidney_G11_4Mar19_Oak_Jup-19-02-04	1	6	Sarwal_Kidney_G11_4Mar19_Oak_Jup-19-02-04	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Sarwal_Kidney_G11_4Mar19_Oak_Jup-19-02-04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Sarwal_Kidney_G11_4Mar19_Oak_Jup-19-02-04.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_DDM2_B2_17Jan19_Oak_Jup-19-01-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_DDM2_B2_17Jan19_Oak_Jup-19-01-01	1	7	Biomarker_DDM2_B2_17Jan19_Oak_Jup-19-01-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_DDM2_B2_17Jan19_Oak_Jup-19-01-01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_DDM2_B2_17Jan19_Oak_Jup-19-01-01.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_T2_5Sep18_Oak_Jup-18-09-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_T2_5Sep18_Oak_Jup-18-09-01	1	8	Biomarker_T2_5Sep18_Oak_Jup-18-09-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_T2_5Sep18_Oak_Jup-18-09-01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_T2_5Sep18_Oak_Jup-18-09-01.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_DDM2_B1_17Jan19_Oak_Jup-19-01-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_DDM2_B1_17Jan19_Oak_Jup-19-01-01	1	9	Biomarker_DDM2_B1_17Jan19_Oak_Jup-19-01-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_DDM2_B1_17Jan19_Oak_Jup-19-01-01.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_DDM2_B1_17Jan19_Oak_Jup-19-01-01.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_G1_5Sep18_Oak_Jup-18-09-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_G1_5Sep18_Oak_Jup-18-09-01	1	10	Biomarker_G1_5Sep18_Oak_Jup-18-09-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_G1_5Sep18_Oak_Jup-18-09-01.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_G1_5Sep18_Oak_Jup-18-09-01.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Sarwal_Kidney_G12_4Mar19_Oak_Jup-19-02-04	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Sarwal_Kidney_G12_4Mar19_Oak_Jup-19-02-04	1	11	Sarwal_Kidney_G12_4Mar19_Oak_Jup-19-02-04	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Sarwal_Kidney_G12_4Mar19_Oak_Jup-19-02-04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Sarwal_Kidney_G12_4Mar19_Oak_Jup-19-02-04.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04	1	12	Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Sawwal_Kidney_bulkref_B_4Mar19_Oak_Jup-19-02-04	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	bulk control	laser capture microdissection	Sawwal_Kidney_bulkref_B_4Mar19_Oak_Jup-19-02-04	not applicable	13	Sawwal_Kidney_bulkref_B_4Mar19_Oak_Jup-19-02-04	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Sawwal_Kidney_bulkref_B_4Mar19_Oak_Jup-19-02-04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Sawwal_Kidney_bulkref_B_4Mar19_Oak_Jup-19-02-04.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04_2	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04_2	1	14	Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Sarwal_Kidney_PT13_4Mar19_Oak_Jup-19-02-04.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_T4_5Sep18_Oak_Jup-18-09-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_T4_5Sep18_Oak_Jup-18-09-01	1	15	Biomarker_T4_5Sep18_Oak_Jup-18-09-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_T4_5Sep18_Oak_Jup-18-09-01.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_T4_5Sep18_Oak_Jup-18-09-01.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_T3_5Sep18_Oak_Jup-18-09-01_2	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_T3_5Sep18_Oak_Jup-18-09-01_2	1	16	Biomarker_T3_5Sep18_Oak_Jup-18-09-01_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_T3_5Sep18_Oak_Jup-18-09-01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_T3_5Sep18_Oak_Jup-18-09-01.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Sarwal_Kidney_G13_4Mar19_Oak_Jup-19-02-04	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Sarwal_Kidney_G13_4Mar19_Oak_Jup-19-02-04	1	17	Sarwal_Kidney_G13_4Mar19_Oak_Jup-19-02-04	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Sarwal_Kidney_G13_4Mar19_Oak_Jup-19-02-04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Sarwal_Kidney_G13_4Mar19_Oak_Jup-19-02-04.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_T2_5Sep18_Oak_Jup-18-09-01_2	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_T2_5Sep18_Oak_Jup-18-09-01_2	1	18	Biomarker_T2_5Sep18_Oak_Jup-18-09-01_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_T2_5Sep18_Oak_Jup-18-09-01.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_T2_5Sep18_Oak_Jup-18-09-01.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
Biomarker_G2_5Sep18_Oak_Jup-18-09-01	Homo sapiens	Kidney	not available	not available	not available	not available	not available	not available	not available	cell	single cell	laser capture microdissection	Biomarker_G2_5Sep18_Oak_Jup-18-09-01	1	19	Biomarker_G2_5Sep18_Oak_Jup-18-09-01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Biomarker_G2_5Sep18_Oak_Jup-18-09-01.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/05/PXD015058/Biomarker_G2_5Sep18_Oak_Jup-18-09-01.mgf	1	label free sample	not applicable	not applicable	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
