source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[facs nozzle size]	comment[facs sorting mode]	comment[microfluidics chip type]	comment[lcm microscope model]	comment[nanopots chip version]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
SP008_staticspray_322_CVscan_Tout100_1	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	SP008_staticspray_322_CVscan_Tout100_1	1	1	SP008_staticspray_322_CVscan_Tout100_1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SP008_staticspray_322_CVscan_Tout100_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/SP008_staticspray_322_CVscan_Tout100_1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
SP008_staticspray_922_CVscan_Tout100_3	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	SP008_staticspray_922_CVscan_Tout100_3	1	2	SP008_staticspray_922_CVscan_Tout100_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SP008_staticspray_922_CVscan_Tout100_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/SP008_staticspray_922_CVscan_Tout100_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
SP008_staticspray_622_CVscan_Tout80_3	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	SP008_staticspray_622_CVscan_Tout80_3	1	3	SP008_staticspray_622_CVscan_Tout80_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SP008_staticspray_622_CVscan_Tout80_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/SP008_staticspray_622_CVscan_Tout80_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz10_20ms_1ng_03	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz10_20ms_1ng_03	1	4	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz10_20ms_1ng_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz10_20ms_1ng_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz10_20ms_1ng_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_4ng_01	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_4ng_01	1	5	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_4ng_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_4ng_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_4ng_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
SP008_staticspray_full_CVscan_Tout80_2	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	SP008_staticspray_full_CVscan_Tout80_2	1	6	SP008_staticspray_full_CVscan_Tout80_2	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SP008_staticspray_full_CVscan_Tout80_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/SP008_staticspray_full_CVscan_Tout80_2.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_H460_E5	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_H460_E5	1	7	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_H460_E5	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_H460_E5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_H460_E5.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_02	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_02	1	8	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_02	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_02	1	9	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_4ng_02	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_4ng_02	1	10	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_4ng_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_4ng_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_4ng_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz20_40ms_250pg_03	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz20_40ms_250pg_03	1	11	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz20_40ms_250pg_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz20_40ms_250pg_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz20_40ms_250pg_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H4	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H4	0	12	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H4	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H4.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_8ng_02	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_8ng_02	1	13	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_8ng_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_8ng_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_8ng_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H1	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H1	0	14	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H1	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out100_0cell_H1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
SP008_staticspray_524_CVscan_Tout100_3	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	SP008_staticspray_524_CVscan_Tout100_3	1	15	SP008_staticspray_524_CVscan_Tout100_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SP008_staticspray_524_CVscan_Tout100_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/SP008_staticspray_524_CVscan_Tout100_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_03	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_03	1	16	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T80__mz5_10ms_16ng_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
SP008_staticspray_524_CVscan_Tout80_3	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	SP008_staticspray_524_CVscan_Tout80_3	1	17	SP008_staticspray_524_CVscan_Tout80_3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	SP008_staticspray_524_CVscan_Tout80_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/SP008_staticspray_524_CVscan_Tout80_3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out80_H460_D3	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out80_H460_D3	1	18	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out80_H460_D3	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out80_H460_D3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/202500611_Astral1_Neo6_TH113_Matzinger_THIDSP_006__80SPD_out80_H460_D3.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_1ng_01	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_1ng_01	1	19	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_1ng_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_1ng_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz8_14ms_1ng_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_03	Homo sapiens	Epithelial cell	Lung carcinoma	not available	not available	not available	not available	not available	Epithelial cell	HeLa	cell	single cell	not applicable	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_03	1	20	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PXD069335/20250917_A1_Neo6_TE_TH104_Matzinger_IMP_THIDSP_008_T100_T100__mz4_8ms_16ng_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Astral;AC=MS:1003378	not applicable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not available	not available	not available	not available	not applicable	not applicable	not applicable	not applicable	not applicable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
